Code,Name in ACS table,Name in Database
S0501_C01_075E,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance",emp_edu_health_social
S0501_C01_075M,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance",emp_edu_health_socia_MA
S0501_C01_076E,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",emp_arts_entertainment_recreation_accomodation_food
S0501_C01_076M,"Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",emp_arts_entertainment_recreation_accomodation_food_MA
S0501_C01_077E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration),emp_other
S0501_C01_077M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Other services (except public administration),emp_other_MA
S0501_C01_078E,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration,emp_public
S0501_C01_078M,Estimate!!Total!!Civilian employed population 16 years and over!!INDUSTRY!!Public administration,emp_public_MA
S0501_C01_100E,Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,inc_income_with_SNAP
S0501_C01_100M,Estimate!!Total!!INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,inc_income_with_SNAP_MA
S0501_C01_128E,Estimate!!Total!!Occupied housing units!!VEHICLES AVAILABLE!!None,t_no_vehicles
S0501_C01_128M,Estimate!!Total!!Occupied housing units!!VEHICLES AVAILABLE!!None,t_no_vehicles_MA
S0501_C01_129E,Estimate!!Total!!Occupied housing units!!VEHICLES AVAILABLE!!1 or more,t_1+_vehicles
S0501_C01_129M,Estimate!!Total!!Occupied housing units!!VEHICLES AVAILABLE!!1 or more,t_1+_vehicles_MA
S0501_C01_130E,Estimate!!Total!!Occupied housing units!!SELECTED CHARACTERISTICS!!No telephone service available,inc_no_telephone
S0501_C01_130M,Estimate!!Total!!Occupied housing units!!SELECTED CHARACTERISTICS!!No telephone service available,inc_no_telephone_MA
S0504_C01_046E,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,edu_attainment_pop_a25
S0504_C01_046M,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,edu_attainment_pop_a25_MA
S0801_C01_046E,Estimate!!Total!!Workers 16 years and over who did not work at home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),t_mean_travel_work
S0801_C01_046M,Estimate!!Total!!Workers 16 years and over who did not work at home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),t_mean_travel_work_MA
S0801_C01_046M,Estimate!!Total!!Workers 16 years and over who did not work at home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),t_mean_travel_work_MA
S1502_C01_002E,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering,edu_stem_degree_perc
S1502_C01_002M,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering,edu_stem_degree_perc_MA
S1502_C01_003E,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields,edu_stem_related_degree_perc
S1502_C01_003M,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields,edu_stem_related_degree_perc_MA
S1502_C01_004E,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Business,edu_business_degree_perc
S1502_C01_004M,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Business,edu_business_degree_perc_MA
S1502_C01_005E,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Education,edu_education_degree_perc
S1502_C01_005M,Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Education,edu_education_degree_perc_MA
S1502_C01_006E,"Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others",edu_humanities_degree_perc
S1502_C01_006M,"Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others",edu_humanities_degree_perc_MA
S1901_C01_012E,Estimate!!Households!!Median income (dollars),inc_income_median
S1901_C01_012M,Estimate!!Households!!Median income (dollars),inc_income_median_MA
S1901_C01_013E,Estimate!!Households!!Mean income (dollars),inc_income_mean
S1901_C01_013M,Estimate!!Households!!Mean income (dollars),inc_income_mean_MA
S2201_C02_001E,Estimate!!Percent!!Households,inc_households_on_SNAP_perc_est
S2201_C02_001M,Estimate!!Percent!!Households,inc_households_on_SNAP_perc_est_MA
S2201_C03_001E,"	Estimate!!Households receiving food stamps/SNAP!!Households",inc_total_enrolled_SNAP
S2201_C03_001M,"	Estimate!!Households receiving food stamps/SNAP!!Households",inc_total_enrolled_SNAP_MA
S2502_C01_001E,Estimate!!Occupied housing units!!Occupied housing units,hs_occupied_housing_units
S2502_C01_001M,Estimate!!Occupied housing units!!Occupied housing units,hs_occupied_housing_units_MA
S2502_C04_001E,Estimate!!Percent owner-occupied housing units!!Occupied housing units,hs_owned_housing_units
S2502_C04_001M,Estimate!!Percent owner-occupied housing units!!Occupied housing units,hs_owned_housing_units_MA
S2502_C05_001E,Estimate!!Renter-occupied housing units!!Occupied housing units,hs_rented_housing_units
S2502_C05_001M,Estimate!!Renter-occupied housing units!!Occupied housing units,hs_rented_housing_units_MA
S2703_C02_001E,Estimate!!Private Coverage!!Civilian noninstitutionalized population,hl_private_coverage
S2703_C02_001M,Estimate!!Private Coverage!!Civilian noninstitutionalized population,hl_private_coverage_MA
S2704_C02_002E,Estimate!!Public Coverage!!Medicare coverage alone or in combination,hl_medicare_coverage
S2704_C02_002M,Estimate!!Public Coverage!!Medicare coverage alone or in combination,hl_medicare_coverage_MA
S2704_C02_010E,Estimate!!Public Coverage!!VA health care coverage alone or in combination,hl_VA_health_coverage
S2704_C02_010M,Estimate!!Public Coverage!!VA health care coverage alone or in combination,hl_VA_health_coverage_MA
S2704_C02_026E,Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone,hl_public_coverage
S2704_C02_026M,Estimate!!Public Coverage!!COVERAGE ALONE!!Public health insurance alone,hl_public_coverage_MA
S2802_C02_001E,Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households,inc_computer_internet
S2802_C02_001M,Estimate!!With a computer!!Broadband Internet Subscription!!Total population in households,inc_computer_internet_MA
S2802_C04_001E,Estimate!!With a computer!!Without an Internet Subscription!!Total population in households,inc_computer_no_internet
S2802_C04_001M,Estimate!!With a computer!!Without an Internet Subscription!!Total population in households,inc_computer_no_internet_MA
S2802_C06_001E,Estimate!!No computer in household!!Total population in households,inc_no_computer
S2802_C06_001M,Estimate!!No computer in household!!Total population in households,inc_no_computer_MA
S2503_C05_024E,Estimate!!Renter-occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars),inc_median_monthly_rent
S2503_C05_024M,Estimate!!Renter-occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars),inc_median_monthly_rent_MA
