X,Y,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_NAME,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,HOSP18_BEDS,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS
478434.4374,4955434.089,EBENEZER RIDGES GERIATRIC CC,13820 COMMUNITY DRIVE,BURNSVILLE,MN,55337,DAKOTA,NONPROFIT CORPORATION,0,0,0,114,0,0,0,0,114,0,0
441999.8635,4916130.163,CENTRAL HEALTH CARE,444 NORTH CORDOVA AVENUE,LE CENTER,MN,56057,LESUEUR,CORPORATION,0,0,0,40,0,0,0,0,40,0,0
481313.3022,4979231.892,FAIRVIEW UNIVERSITY TRANS SVCS,2450 RIVERSIDE AVENUE SOUTH,MINNEAPOLIS,MN,55454,HENNEPIN,NONPROFIT CORPORATION,0,0,0,28,0,0,0,0,28,0,0
485874.7373,4977989.19,EPISCOPAL CHURCH HOME OF MN,1879 FERONIA AVENUE,ST. PAUL,MN,55104,RAMSEY,NONPROFIT CORPORATION,0,0,0,81,50,0,0,0,81,0,50
566514.3341,5185180.648,CHRIS JENSEN HLTH & REHAB CTR,2501 RICE LAKE ROAD,DULUTH,MN,55811,SAINT LOUIS,LIMITED LIABILITY COMPANY,0,0,0,170,0,0,0,0,170,0,0
460121.1652,4979708.788,FOLKESTONE,100 PROMENADE AVENUE,WAYZATA,MN,55391,HENNEPIN,NONPROFIT CORPORATION,0,0,0,30,0,0,0,30,0,0,0
472082.279,4982550.984,COVENANT LVG CARE & REHAB CTR,5825 ST. CROIX AVENUE,GOLDEN VALLEY,MN,55422,HENNEPIN,NONPROFIT CORPORATION,0,0,0,88,0,0,0,38,0,0,0
469082.6576,4967117.041,FRIENDSHIP VILLAGE OF BLOOMING,8100 HIGHWOOD DRIVE,BLOOMINGTON,MN,55438,HENNEPIN,NONPROFIT CORPORATION,0,0,0,66,53,0,0,66,0,0,0
405622.7827,4992667.674,COKATO MANOR,182 SUNSET AVENUE,COKATO,MN,55321,WRIGHT,NONPROFIT CORPORATION,0,0,0,56,0,0,0,0,56,0,0
523990.3738,5300030.639,COOK HOSPITAL,10 5TH STREET SOUTHEAST,COOK,MN,55723,SAINT LOUIS,HOSPITAL DISTRICT OR AUTHORITY,14,0,0,28,0,0,0,0,28,0,0
485859.6971,4978094.138,EPISCOPAL CHURCH HOME GARDENS,1860 UNIVERSITY AVENUE WEST,ST. PAUL,MN,55104,RAMSEY,LIMITED LIABILITY COMPANY,0,0,0,60,0,0,0,0,60,0,0
516801.627,5259447.147,CORNERSTONE VILLA,1000 FOREST STREET,BUHL,MN,55713,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,44,0,0,0,0,44,0,0
407312.6144,5052018.657,COUNTRY MANOR HLTH & REHAB CTR,520 1ST STREET NE,SARTELL,MN,56377,BENTON,LIMITED LIABILITY COMPANY,0,0,0,165,0,0,0,0,165,0,0
541105.4283,5175450.945,COMMUNITY MEMORIAL HOSPITAL,512 SKYLINE BOULEVARD,CLOQUET,MN,55720,CARLTON,NONPROFIT CORPORATION,36,6,0,44,0,0,0,0,44,0,0
542751.0846,4874862.891,CHARTER HOUSE INC,211 2ND STREET NW,ROCHESTER,MN,55901,OLMSTED,NONPROFIT CORPORATION,0,0,0,32,0,0,0,32,0,0,0
513286.4748,4986375.043,GABLES OF BOUTWELLS LANDING,13575 58TH STREET,OAK PARK HEIGHTS,MN,55082,WASHINGTON,LIMITED LIABILITY COMPANY,0,0,0,108,0,0,0,0,108,0,0
473825.7585,4985721.996,GOOD SAM SPECIALTY CARE COMM,3815 WEST BROADWAY AVENUE,ROBBINSDALE,MN,55422,HENNEPIN,NONPROFIT CORPORATION,0,0,0,96,0,0,0,0,96,0,0
533788.2348,5264287.884,ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,VIRGINIA,MN,55792,SAINT LOUIS,OTHER NONPROFIT OWNERSHIP,83,6,0,77,0,83,0,0,77,0,0
491204.5424,4977915.98,GALTIER A VILLA CENTER,445 GALTIER STREET,ST. PAUL,MN,55103,RAMSEY,LIMITED LIABILITY COMPANY,0,0,0,107,0,0,0,0,107,0,0
428818.1396,5056680.298,THE GARDENS AT FOLEY LLC,253 PINE STREET,FOLEY,MN,56329,BENTON,LIMITED LIABILITY COMPANY,0,0,0,78,0,0,0,0,78,0,0
493933.6585,4969731.384,GOOD SAM INVER GROVE HEIGHTS,1301 50TH STREET EAST,INVER GROVE HEIGHTS,MN,55077,DAKOTA,NONPROFIT CORPORATION,0,0,0,46,0,0,0,0,46,0,0
445704.131,5152827.601,AITKIN HEALTH SERVICES,301 MINNESOTA AVENUE SOUTH,AITKIN,MN,56431,AITKIN,NONPROFIT CORPORATION,0,0,0,44,0,0,0,0,44,0,0
408724.1965,4958979.771,GLENCOE REGIONAL HEALTH SRVCS,1805 HENNEPIN AVENUE NORTH,GLENCOE,MN,55336,MCLEOD,NONPROFIT CORPORATION,49,8,0,108,0,0,0,0,108,0,0
468256.3564,4973225.765,HOPKINS HEALTH SERVICES,725 2ND AVENUE SOUTH,HOPKINS,MN,55343,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,118,0,0,0,0,118,0,0
571541.8694,5177013.712,FRANCISCAN HEALTH CENTER,3910 MINNESOTA AVENUE,DULUTH,MN,55802,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,47,0,0,0,0,47,0,0
278990.6501,4925358.539,AVERA MARSHALL REG MED CENTER,300 SOUTH BRUCE STREET,MARSHALL,MN,56258,LYON,NONPROFIT CORPORATION,49,8,0,76,0,0,0,0,76,0,0
464282.005,4984203.516,INTERLUDE,2775 CAMPUS DRIVE NORTH,PLYMOUTH,MN,55441,HENNEPIN,NONPROFIT CORPORATION,0,0,0,50,0,0,0,0,50,0,0
474219.6911,4977922.916,JONES HARRISON RESIDENCE,3700 CEDAR LAKE AVENUE,MINNEAPOLIS,MN,55416,HENNEPIN,NONPROFIT CORPORATION,0,0,0,157,0,0,0,0,157,0,0
514170.6504,4990234.552,GOOD SAM SOCIETY STILLWATER,1119 OWENS STREET NORTH,STILLWATER,MN,55082,WASHINGTON,NONPROFIT CORPORATION,0,0,0,68,0,0,0,0,68,0,0
457406.595,4974957.851,LAKE MINNETONKA CARE CENTER,20395 SUMMERVILLE ROAD,DEEPHAVEN,MN,55331,HENNEPIN,CORPORATION,0,0,0,21,0,0,0,0,21,0,0
469808.5249,4983917.772,GOOD SAM AMBASSADOR,8100 MEDICINE LAKE ROAD,NEW HOPE,MN,55427,HENNEPIN,NONPROFIT CORPORATION,0,0,0,77,0,0,0,0,77,0,0
449557.17,4976020.702,LAKE MINNETONKA SHORES,4527 SHORELINE DRIVE,SPRING PARK,MN,55384,HENNEPIN,NONPROFIT CORPORATION,0,0,0,136,0,0,0,0,136,0,0
413881.562,4940262.506,GOOD SAM ARLINGTON,411 7TH AVENUE NW,ARLINGTON,MN,55307,SIBLEY,NONPROFIT CORPORATION,0,0,0,27,0,0,0,0,27,0,0
414992.2307,4990400.131,GOOD SAM SOCIETY HOWARD LAKE,413 13TH AVENUE,HOWARD LAKE,MN,55349,WRIGHT,NONPROFIT CORPORATION,0,0,0,32,0,0,0,0,32,0,0
250180.3758,4906842.922,AVERA TYLER HOSPITAL,240 WILLOW STREET,TYLER,MN,56178,LINCOLN,NONPROFIT CORPORATION,20,1,0,30,0,0,0,0,30,0,0
391128.3994,4932515.474,GOOD SAM WINTHROP,506 HIGH STREET,WINTHROP,MN,55396,SIBLEY,NONPROFIT CORPORATION,0,0,0,32,0,0,0,0,32,0,0
472395.5824,4991806.493,MARANATHA CARE CENTER,5409 69TH AVENUE NORTH,BROOKLYN CENTER,MN,55429,HENNEPIN,NONPROFIT CORPORATION,0,0,0,97,0,0,0,0,97,0,0
493878.1666,4982813.632,GOOD SAM SOC MAPLEWOOD,550 EAST ROSELAWN AVENUE,MAPLEWOOD,MN,55117,RAMSEY,NONPROFIT CORPORATION,0,0,0,71,0,0,0,0,71,0,0
408262.7426,5050640.879,GOOD SHEPHERD LUTHERAN HOME,1115 4TH AVENUE NORTH,SAUK RAPIDS,MN,56379,BENTON,OTHER NONPROFIT OWNERSHIP,0,0,0,162,0,0,0,0,162,0,0
456227.2839,5017099.95,GUARDIAN ANGELS CARE CENTER,400 EVANS AVENUE,ELK RIVER,MN,55330,SHERBURNE,CHURCH RELATED,0,0,0,120,0,0,0,0,120,0,0
392211.9736,4968785.863,HARMONY RIVER LIVING CENTER,1555 SHERWOOD STREET SE,HUTCHINSON,MN,55350,MCLEOD,NONPROFIT CORPORATION,0,0,0,120,0,0,0,0,120,0,0
504453.6559,5253389.017,GUARDIAN ANGELS HEALTH & REHAB,1500 3RD AVENUE EAST,HIBBING,MN,55746,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,90,0,0,0,0,90,0,0
416362.1177,4889290.422,HILLCREST CARE & REHAB CENTER,714 SOUTHBEND AVENUE,MANKATO,MN,56001,BLUE EARTH,LIMITED LIABILITY COMPANY,0,0,0,85,0,0,0,0,85,0,0
447681.4657,4983834.948,HAVEN HOMES OF MAPLE PLAIN,1520 WYMAN AVENUE,MAPLE PLAIN,MN,55359,HENNEPIN,NONPROFIT CORPORATION,0,0,0,52,0,0,0,0,52,0,0
437398.7231,4965838.159,GOOD SAM WACONIA&WESTVIEW ACRE,333 5TH STREET WEST,WACONIA,MN,55387,CARVER,NONPROFIT CORPORATION,0,0,0,90,0,0,0,0,90,0,0
500492.8686,4902030.1,KENYON SUNSET HOME,127 GUNDERSON BOULEVARD,KENYON,MN,55946,GOODHUE,CHURCH RELATED,0,0,0,21,0,0,0,0,21,0,0
573095.8717,5185761.676,ECUMEN LAKESHORE,4002 LONDON ROAD,DULUTH,MN,55804,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,60,0,0,0,0,60,0,0
454542.5753,4933546.18,MALA STRANA CARE & REHAB CTR,1001 COLUMBUS AVENUE NORTH,NEW PRAGUE,MN,56071,SCOTT,CORPORATION,0,0,0,84,0,0,0,0,84,0,0
487371.1064,4980724.274,LYNGBLOMSTEN CARE CENTER,1415 ALMOND AVENUE,ST. PAUL,MN,55108,RAMSEY,CHURCH RELATED,0,0,0,225,0,0,0,0,225,0,0
444643.3633,5153631.251,AICOTA HEALTH CARE CENTER,850 2ND STREET NW,AITKIN,MN,56431,AITKIN,CORPORATION,0,0,0,75,0,0,0,0,75,0,0
431477.3915,5002016.515,LAKE RIDGE CARE CTR OF BUFFALO,310 LAKE BOULEVARD SOUTH,BUFFALO,MN,55313,WRIGHT,NONPROFIT CORPORATION,0,0,0,56,0,0,0,0,56,0,0
419469.1196,4888287.043,LAURELS PEAK CARE & REHAB CTR,700 JAMES AVENUE,MANKATO,MN,56001,BLUE EARTH,LIMITED LIABILITY COMPANY,0,0,0,65,0,0,0,0,65,0,0
395644.7616,5092399.041,LITTLE FALLS CARE CENTER,1200 1ST AVENUE NE,LITTLE FALLS,MN,56345,MORRISON,NONPROFIT CORPORATION,0,0,0,64,0,0,0,0,64,0,0
479748.2691,4994806.251,INTERLUDE RESTORATIVE SUITES,520 OSBORNE ROAD NE,FRIDLEY,MN,55432,ANOKA,OTHER NONPROFIT OWNERSHIP,0,0,0,50,0,0,0,0,50,0,0
233027.8487,5244302.147,BENEDICTINE CARE COMMUNITY,201 9TH STREET WEST,ADA,MN,56510,NORMAN,NONPROFIT CORPORATION,0,0,0,49,0,0,0,0,49,0,0
486942.9736,4972379.02,HIGHLAND CHATEAU HCC,2319 WEST 7TH STREET,ST PAUL,MN,55116,RAMSEY,LIMITED LIABILITY COMPANY,0,0,0,64,0,0,0,0,64,0,0
543948.069,5168767.277,INTERFAITH CARE CENTER,811 3RD STREET,CARLTON,MN,55718,CARLTON,CHURCH RELATED,0,0,0,96,0,0,0,0,96,0,0
540469.2439,4879175.598,MADONNA TOWERS OF ROCHESTER,4001 19TH AVENUE NW,ROCHESTER,MN,55901,OLMSTED,CHURCH RELATED,0,0,0,62,0,0,0,2,60,0,0
517409.1847,5143186.859,AUGUSTANA MERCY CARE CENTER,710 SOUTH KENWOOD AVENUE,MOOSE LAKE,MN,55767,CARLTON,LIMITED LIABILITY COMPANY,0,0,0,72,0,0,0,0,72,0,0
491684.1025,4976195.524,LITTLE SISTERS OF THE POOR,330 SOUTH EXCHANGE STREET,ST. PAUL,MN,55102,RAMSEY,NONPROFIT CORPORATION,0,0,0,40,33,0,0,0,40,0,33
314629.3395,5083660.613,BETHANY ON THE LAKE LLC,1020 LARK STREET,ALEXANDRIA,MN,56308,DOUGLAS,LIMITED LIABILITY COMPANY,0,0,0,83,0,0,0,0,83,0,0
498433.0795,4984159.173,MAPLEWOOD CARE CENTER,1900 SHERREN AVENUE,MAPLEWOOD,MN,55109,RAMSEY,NONPROFIT CORPORATION,0,0,0,128,0,0,0,0,128,0,0
540717.1191,4876876.561,EDENBROOK OF ROCHESTER,1875 19TH STREET NW,ROCHESTER,MN,55901,OLMSTED,LIMITED LIABILITY COMPANY,0,0,0,81,0,0,0,0,81,0,0
451619.1899,5288436.093,BIGFORK VALLEY COMMUNITIES,258 PINE TREE DRIVE PO BOX 258,BIGFORK,MN,56628,ITASCA,HOSPITAL DISTRICT OR AUTHORITY,0,0,0,40,0,0,0,0,40,0,0
479801.0937,4963260.99,MARTIN LUTHER CARE CENTER,1401 EAST 100TH STREET,BLOOMINGTON,MN,55425,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,137,0,0,0,0,137,0,0
347395.9863,5018641.561,GLENOAKS SENIOR LIVING CAMPUS,100 GLENOAKS DRIVE,NEW LONDON,MN,56273,KANDIYOHI,NONPROFIT CORPORATION,0,0,0,52,0,0,0,0,52,0,0
337326.2372,4997270.816,CARRIS HLTH CC THERAPY SUITES,1801 WILLMAR AVENUE SW,WILLMAR,MN,56201,KANDIYOHI,OTHER NONPROFIT OWNERSHIP,0,0,0,78,0,0,0,0,78,0,0
201579.209,5056041.269,BROWNS VALLEY HEALTH CENTER,114 JEFFERSON STREET SOUTH,BROWNS VALLEY,MN,56219,TRAVERSE,NONPROFIT CORPORATION,0,0,0,41,0,0,0,0,41,0,0
500250.3482,5018635.007,MEADOWS ON FAIRVIEW,25565 FAIRVIEW AVENUE,WYOMING,MN,55092,CHISAGO,NONPROFIT CORPORATION,0,0,0,14,0,0,0,0,14,0,0
621511.8169,4832811.769,CALEDONIA REHAB & RETIREMENT,425 NORTH BADGER STREET,CALEDONIA,MN,55921,HOUSTON,LIMITED LIABILITY COMPANY,0,0,0,49,0,0,0,0,49,0,0
472548.022,4960339.284,MINNESOTA MASONIC HOME CARE,11501 MASONIC HOME DRIVE,BLOOMINGTON,MN,55437,HENNEPIN,NONPROFIT CORPORATION,0,0,0,214,0,0,0,0,214,0,0
483956.2503,4973175.166,MN VETERANS HOME MINNEAPOLIS,5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417,HENNEPIN,STATE,0,0,0,341,50,0,0,0,300,0,0
477292.9486,4972150.826,MOUNT OLIVET CAREVIEW HOME,5517 LYNDALE AVENUE SOUTH,MINNEAPOLIS,MN,55419,HENNEPIN,NONPROFIT CORPORATION,0,0,0,155,0,0,0,0,155,0,0
377868.8945,5053964.855,MOTHER OF MERCY SENIOR LIVING,230 CHURCH STREET BOX 676,ALBANY,MN,56307,STEARNS,NONPROFIT CORPORATION,0,0,0,70,0,0,0,0,70,0,0
492533.2265,4980278.839,NEW HARMONY CARE & REHAB CTR,135 GERANIUM AVENUE EAST,ST PAUL,MN,55117,RAMSEY,CHURCH RELATED,0,0,0,76,0,0,0,0,76,0,0
469340.0028,4988795.966,NORTH RIDGE HEALTH AND REHAB,5430 BOONE AVENUE NORTH,NEW HOPE,MN,55428,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,320,0,0,0,0,320,0,0
365664.1587,5025979.608,CENTRACARE HEALTH PAYNESVILLE,200 WEST 1ST STREET,PAYNESVILLE,MN,56362,STEARNS,LIMITED LIABILITY COMPANY,30,6,0,40,0,0,0,0,40,0,0
484738.6564,4989988.857,NEW BRIGHTON CARE CENTER,805 6TH AVENUE NORTHWEST,NEW BRIGHTON,MN,55112,RAMSEY,CORPORATION,0,0,0,57,0,0,0,0,57,0,0
485240.8675,4990030.544,NEW BRIGHTON A VILLA CENTER,825 1ST AVENUE NORTHWEST,NEW BRIGHTON,MN,55112,RAMSEY,LIMITED LIABILITY COMPANY,0,0,0,99,0,0,0,0,99,0,0
466545.9466,4985069.306,MISSION NURSING HOME,3401 E MEDICINE LAKE BOULEVARD,PLYMOUTH,MN,55441,HENNEPIN,NONPROFIT CORPORATION,0,0,0,90,0,0,0,0,90,0,0
584419.6285,5305868.219,BOUNDARY WATERS CARE CENTER,200 WEST CONAN STREET,ELY,MN,55731,SAINT LOUIS,NONPROFIT CORPORATION,0,0,0,42,0,0,0,0,42,0,0
421135.5754,4890417.616,OAKLAWN CARE & REHAB CENTER,201 OAKLAWN AVENUE,MANKATO,MN,56001,BLUE EARTH,LIMITED LIABILITY COMPANY,0,0,0,70,0,0,0,0,70,0,0
475654.8309,4963446.98,PRESBYTERIAN HOMES BLOOMINGTON,9889 PENN AVENUE SOUTH,BLOOMINGTON,MN,55431,HENNEPIN,NONPROFIT CORPORATION,0,0,0,98,0,0,0,0,98,0,0
484791.1288,4924452.604,NORTHFIELD CITY HOSPITAL & NSG,2000 NORTH AVENUE,NORTHFIELD,MN,55057,DAKOTA,CITY,37,12,0,40,0,37,0,0,40,0,0
481115.1842,4975771.545,PROVIDENCE PLACE,3720 23RD AVENUE SOUTH,MINNEAPOLIS,MN,55407,HENNEPIN,NONPROFIT CORPORATION,0,0,0,190,0,0,0,0,190,0,0
417671.4446,4890522.521,PATHSTONE LIVING,718 MOUND AVENUE,MANKATO,MN,56001,BLUE EARTH,NONPROFIT CORPORATION,0,0,0,69,0,0,0,0,69,0,0
476321.397,4999589.993,PARK RIVER ESTATES CARE CENTER,9899 AVOCET STREET NW,COON RAPIDS,MN,55433,ANOKA,CORPORATION,0,0,0,99,0,0,0,0,99,0,0
414741.8235,5092234.326,PIERZ VILLA INC,119 FAUST STREET SE,PIERZ,MN,56364,MORRISON,CORPORATION,0,0,0,50,0,0,0,0,50,0,0
528094.4054,4894918.356,PINE HAVEN CARE CENTER INC,210 3RD STREET NW,PINE ISLAND,MN,55963,GOODHUE,NONPROFIT CORPORATION,0,0,0,70,0,0,0,0,70,0,0
478871.815,4967790.15,RICHFIELD A VILLA CENTER,7727 PORTLAND AVENUE SOUTH,RICHFIELD,MN,55423,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,112,0,0,0,0,112,0,0
495387.8784,4996570.386,PRESBYTERIAN HOMES NORTH OAKS,5919 CENTERVILLE ROAD,NORTH OAKS,MN,55127,RAMSEY,CHURCH RELATED,0,0,0,60,0,0,0,0,60,0,0
473435.6198,4975928.604,PARK HEALTH A VILLA CENTER,4415 WEST 36 1/2 STREET,ST. LOUIS PARK,MN,55416,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,70,0,0,0,0,70,0,0
472666.9702,4997691.791,SAINT THERESE AT OXBOW LAKE,5200 OAK GROVE PARKWAY,BROOKLYN PARK,MN,55443,HENNEPIN,LIMITED LIABILITY COMPANY,0,0,0,64,0,0,0,0,64,0,0
349922.9176,5110128.494,CENTRAL TODD COUNTY CARE CTR,406 HIGHWAY 71 EAST PO BOX 38,CLARISSA,MN,56440,TODD,NONPROFIT CORPORATION,0,0,0,50,0,0,0,0,50,0,0
498111.1975,4982827.001,RAMSEY COUNTY CARE CENTER,2000 WHITE BEAR AVENUE,MAPLEWOOD,MN,55109,RAMSEY,COUNTY,0,0,0,164,0,0,0,0,164,0,0
509013.754,5022606.515,PARMLY ON THE LAKE LLC,28210 OLD TOWNE ROAD,CHISAGO CITY,MN,55013,CHISAGO,LIMITED LIABILITY COMPANY,0,0,0,91,0,0,0,0,91,0,0
